disease,state,year,vaccine,incidence
MEASLES,AK,1954,FALSE,691.67
MEASLES,AK,1955,FALSE,241.87
MEASLES,AK,1956,FALSE,1120.98
MEASLES,AK,1957,FALSE,414.7
MEASLES,AK,1958,FALSE,562.0600000000001
MEASLES,AK,1959,FALSE,816.55
MEASLES,AK,1960,FALSE,635.79
MEASLES,AK,1961,FALSE,420.96
MEASLES,AK,1962,FALSE,571.54
MEASLES,AK,1963,TRUE,722.27
MEASLES,AK,1964,TRUE,439.89
MEASLES,AK,1965,TRUE,79.38
MEASLES,AK,1966,TRUE,236.57
MEASLES,AK,1967,TRUE,53.27
MEASLES,AK,1968,TRUE,3.86
MEASLES,AK,1969,TRUE,6.7700000000000005
MEASLES,AK,1970,TRUE,33.61
MEASLES,AK,1971,TRUE,19.42
MEASLES,AK,1972,TRUE,3.94
MEASLES,AK,1973,TRUE,1.47
MEASLES,AK,1974,TRUE,0.27
MEASLES,AK,1976,TRUE,2.73
MEASLES,AK,1977,TRUE,15.07
MEASLES,AK,1978,TRUE,0.5
MEASLES,AK,1979,TRUE,4.48
MEASLES,AK,1980,TRUE,1.44
MEASLES,AK,1982,TRUE,0.2
MEASLES,AK,1988,TRUE,0.18
MEASLES,AK,1989,TRUE,0
MEASLES,AK,1990,TRUE,4.86
MEASLES,AK,1991,TRUE,0.18
MEASLES,AK,1992,TRUE,0.68
MEASLES,AK,1994,TRUE,2.67
MEASLES,AK,1996,TRUE,11.16
MEASLES,AK,1997,TRUE,0.16
MEASLES,AK,1998,TRUE,2.58
MEASLES,AK,2000,TRUE,0.16
MEASLES,AL,1928,FALSE,334.99
MEASLES,AL,1929,FALSE,111.93
MEASLES,AL,1930,FALSE,157
MEASLES,AL,1931,FALSE,337.29
MEASLES,AL,1932,FALSE,10.21
MEASLES,AL,1933,FALSE,65.22
MEASLES,AL,1934,FALSE,590.27
MEASLES,AL,1935,FALSE,265.34
MEASLES,AL,1936,FALSE,20.78
MEASLES,AL,1937,FALSE,22.46
MEASLES,AL,1938,FALSE,496.44
MEASLES,AL,1939,FALSE,182.64
MEASLES,AL,1940,FALSE,115.12
MEASLES,AL,1941,FALSE,297.47
MEASLES,AL,1942,FALSE,126.15
MEASLES,AL,1943,FALSE,130.82
MEASLES,AL,1944,FALSE,252.87
MEASLES,AL,1945,FALSE,27.330000000000002
MEASLES,AL,1946,FALSE,126.75
MEASLES,AL,1947,FALSE,127.26
MEASLES,AL,1948,FALSE,69.09
MEASLES,AL,1949,FALSE,368.8
MEASLES,AL,1950,FALSE,50.9
MEASLES,AL,1951,FALSE,103.24
MEASLES,AL,1952,FALSE,351.72
MEASLES,AL,1953,FALSE,93.99
MEASLES,AL,1954,FALSE,280.39
MEASLES,AL,1955,FALSE,69.68
MEASLES,AL,1956,FALSE,231.75
MEASLES,AL,1957,FALSE,299.79
MEASLES,AL,1958,FALSE,242.34
MEASLES,AL,1959,FALSE,108.19
MEASLES,AL,1960,FALSE,63.33
MEASLES,AL,1961,FALSE,78.01
MEASLES,AL,1962,FALSE,71.58
MEASLES,AL,1963,TRUE,34.74
MEASLES,AL,1964,TRUE,533.68
MEASLES,AL,1965,TRUE,68.2
MEASLES,AL,1966,TRUE,52.38
MEASLES,AL,1967,TRUE,38.98
MEASLES,AL,1968,TRUE,4.65
MEASLES,AL,1969,TRUE,0.36
MEASLES,AL,1970,TRUE,13.94
MEASLES,AL,1971,TRUE,55.24
MEASLES,AL,1972,TRUE,4.0200000000000005
MEASLES,AL,1973,TRUE,0.42
MEASLES,AL,1974,TRUE,0.58
MEASLES,AL,1975,TRUE,0.13
MEASLES,AL,1977,TRUE,2.06
MEASLES,AL,1978,TRUE,3.43
MEASLES,AL,1979,TRUE,3.35
MEASLES,AL,1980,TRUE,0.57
MEASLES,AL,1981,TRUE,0
MEASLES,AL,1982,TRUE,0.05
MEASLES,AL,1983,TRUE,0.03
MEASLES,AL,1984,TRUE,0
MEASLES,AL,1986,TRUE,0.02
MEASLES,AL,1987,TRUE,0.09000000000000001
MEASLES,AL,1988,TRUE,0.02
MEASLES,AL,1989,TRUE,1.46
MEASLES,AL,1990,TRUE,0.65
MEASLES,AL,1991,TRUE,0.02
MEASLES,AL,1993,TRUE,0.02
MEASLES,AL,1997,TRUE,0.14
MEASLES,AL,1998,TRUE,0
MEASLES,AL,2002,TRUE,0.16
MEASLES,AR,1928,FALSE,481.77
MEASLES,AR,1929,FALSE,67.22
MEASLES,AR,1930,FALSE,53.44
MEASLES,AR,1931,FALSE,45.910000000000004
MEASLES,AR,1932,FALSE,5.33
MEASLES,AR,1933,FALSE,293.32
MEASLES,AR,1934,FALSE,384.57
MEASLES,AR,1935,FALSE,80.33
MEASLES,AR,1936,FALSE,5.66
MEASLES,AR,1937,FALSE,16.98
MEASLES,AR,1938,FALSE,356.73
MEASLES,AR,1939,FALSE,123.51
MEASLES,AR,1940,FALSE,72
MEASLES,AR,1941,FALSE,273.89
MEASLES,AR,1942,FALSE,232.7
MEASLES,AR,1943,FALSE,162.6
MEASLES,AR,1944,FALSE,207.51
MEASLES,AR,1945,FALSE,69.5
MEASLES,AR,1946,FALSE,168.47
MEASLES,AR,1947,FALSE,130.61
MEASLES,AR,1948,FALSE,208.3
MEASLES,AR,1949,FALSE,667.72
MEASLES,AR,1950,FALSE,91.12
MEASLES,AR,1951,FALSE,401.09
MEASLES,AR,1952,FALSE,188.54999999999998
MEASLES,AR,1953,FALSE,727.41
MEASLES,AR,1954,FALSE,151.03
MEASLES,AR,1955,FALSE,173.54
MEASLES,AR,1956,FALSE,506.86
MEASLES,AR,1957,FALSE,78.41
MEASLES,AR,1958,FALSE,173.95
MEASLES,AR,1959,FALSE,46.49
MEASLES,AR,1960,FALSE,89.24
MEASLES,AR,1961,FALSE,93.26
MEASLES,AR,1962,FALSE,77.61
MEASLES,AR,1963,TRUE,77.5
MEASLES,AR,1964,TRUE,58.28
MEASLES,AR,1965,TRUE,63.08
MEASLES,AR,1966,TRUE,72.49
MEASLES,AR,1967,TRUE,66.76
MEASLES,AR,1968,TRUE,0.15000000000000002
MEASLES,AR,1969,TRUE,1.51
MEASLES,AR,1970,TRUE,1.66
MEASLES,AR,1971,TRUE,21.91
MEASLES,AR,1972,TRUE,0.65
MEASLES,AR,1973,TRUE,3.71
MEASLES,AR,1974,TRUE,0.66
MEASLES,AR,1975,TRUE,0.1
MEASLES,AR,1976,TRUE,0.91
MEASLES,AR,1977,TRUE,2.04
MEASLES,AR,1978,TRUE,0.96
MEASLES,AR,1979,TRUE,0.47
MEASLES,AR,1980,TRUE,0.76
MEASLES,AR,1981,TRUE,0.59
MEASLES,AR,1983,TRUE,0.04
MEASLES,AR,1984,TRUE,0.38
